BHK,Flat Type,Locality,Area,Furnishing Status,Price
3 BHK,Apartment,Shaikpet,1200,Semi-Furnished,18000
3 BHK,Independent,Qutub Shahi,1300,Unfurnished,15500
2 BHK,Apartment,Boiguda,900,Unfurnished,17000
4 BHK,Apartment,Gachibowli,2500,Semi-Furnished,53999
2 BHK,Apartment,East Bahadurpura,1503,Semi-Furnished,14500
3 BHK,Apartment,Nanakramguda,3105,Furnished,80000
3 BHK,Apartment,Nanakramguda,3105,Furnished,80000
3 BHK,Apartment,Nanakramguda,3105,Furnished,80000
3 BHK,Apartment,Nanakramguda,3105,Furnished,80000
3 BHK,Apartment,Nanakramguda,3105,Furnished,80000
3 BHK,Apartment,Nanakramguda,3105,Furnished,80000
3 BHK,Apartment,Nanakramguda,3105,Furnished,80000
3 BHK,Apartment,Nanakramguda,3105,Furnished,80000
2 BHK,Independent,Malakpet,1200,Unfurnished,18000
2 BHK,Independent,Nagole,1500,Semi-Furnished,17000
4 BHK,Villa,Nizampet,2400,Unfurnished,30000
4 BHK,Villa,Nizampet,2400,Unfurnished,30000
4 BHK,Villa,Nizampet,2400,Unfurnished,30000
4 BHK,Villa,Nizampet,2400,Unfurnished,30000
4 BHK,Villa,Nizampet,2400,Unfurnished,30000
4 BHK,Villa,Nizampet,2400,Unfurnished,30000
4 BHK,Villa,Nizampet,2400,Unfurnished,30000
4 BHK,Villa,Nizampet,2400,Unfurnished,30000
4 BHK,Villa,Nizampet,2400,Unfurnished,30000
4 BHK,Villa,Nizampet,2400,Unfurnished,30000
4 BHK,Villa,Nizampet,2400,Unfurnished,30000
4 BHK,Villa,Nizampet,2400,Unfurnished,30000
4 BHK,Villa,Nizampet,2400,Unfurnished,30000
4 BHK,Villa,Nizampet,2400,Unfurnished,30000
3 BHK,Apartment,Sri Nagar,2500,Semi-Furnished,45000
3 BHK,Apartment,Shaikpet,2000,Furnished,50000
2 BHK,Independent,Amberpet,1300,Semi-Furnished,20000
3 BHK,Apartment,Chandanagar,1600,Semi-Furnished,26000
2 BHK,Apartment,Himayat Nagar,1200,Semi-Furnished,20000
2 BHK,Apartment,Nallakunta,1200,Semi-Furnished,17000
1 BHK,Apartment,Nallakunta,800,Semi-Furnished,10000
1 BHK,Apartment,Amberpet,1200,Semi-Furnished,16000
3 BHK,Apartment,Nallakunta,1500,Semi-Furnished,25000
1 BHK,Apartment,Nallakunta,800,Semi-Furnished,10000
1 BHK,Apartment,Nallakunta,900,Semi-Furnished,12000
3 BHK,Apartment,Nallakunta,1600,Semi-Furnished,26500
3 BHK,Apartment,Amberpet,1700,Semi-Furnished,27000
3 BHK,Apartment,Amberpet,1800,Semi-Furnished,30000
3 BHK,Apartment,Nallakunta,1800,Semi-Furnished,30000
3 BHK,Apartment,Kondapur,1700,Semi-Furnished,54000
2 BHK,Independent,Manikonda,1050,Semi-Furnished,24000
1 BHK,Apartment,Gowlidody,600,Furnished,17000
3 BHK,Apartment,Nallakunta,1900,Semi-Furnished,25002
2 BHK,Apartment,Amberpet,1400,Semi-Furnished,20000
3 BHK,Apartment,Nallakunta,1900,Semi-Furnished,25001
3 BHK,Apartment,Amberpet,1700,Semi-Furnished,25000
2 BHK,Apartment,Nallakunta,1200,Semi-Furnished,17000
3 BHK,Apartment,Nallakunta,1600,Semi-Furnished,27000
3 BHK,Apartment,Kukatpally,1500,Unfurnished,39000
3 BHK,Apartment,Kukatpally,1980,Furnished,48000
3 BHK,Apartment,Begumpet,1750,Furnished,55000
2 BHK,Apartment,Gachibowli,1492,Furnished,70000
2 BHK,Apartment,Kukatpally,1050,Furnished,29000
3 BHK,Apartment,Ramachandrapuram,1760,Furnished,48000
3 BHK,Apartment,Nanakramguda,2680,Semi-Furnished,75000
3 BHK,Apartment,Shaikpet,1878,Furnished,55000
3 BHK,Apartment,Kondapur,1700,Semi-Furnished,53000
3 BHK,Villa,Nagole,3200,Semi-Furnished,80000
3 BHK,Apartment,Kondapur,1650,Semi-Furnished,50000
3 BHK,Apartment,Nanakramguda,2800,Semi-Furnished,55000
3 BHK,Apartment,Nacharam,1750,Semi-Furnished,27000
3 BHK,Apartment,Madhapur,2000,Semi-Furnished,48000
3 BHK,Apartment,Nallagandla Gachibowli,1050,Furnished,44000
3 BHK,Apartment,Nallagandla Gachibowli,1800,Semi-Furnished,54000
3 BHK,Apartment,Serilingampally,1599,Semi-Furnished,29000
3 BHK,Apartment,Nallagandla Gachibowli,1510,Semi-Furnished,45000
3 BHK,Apartment,Hitech City,2330,Furnished,74000
2 BHK,Apartment,Gachibowli,892,Furnished,61000
2 BHK,Apartment,Gachibowli,1492,Semi-Furnished,54000
2 BHK,Apartment,Jubilee Hills,1200,Unfurnished,37000
4 BHK,Villa,Tellapur,3223,Semi-Furnished,1.09
3 BHK,Apartment,Hitech City,1500,Semi-Furnished,64000
2 BHK,Apartment,Gachibowli,1283,Unfurnished,32000
3 BHK,Apartment,Kondapur,1798,Semi-Furnished,55000
3 BHK,Apartment,Nanakramguda,2824,Semi-Furnished,60000
3 BHK,Apartment,Kokapet,2100,Furnished,64000
3 BHK,Apartment,Kukatpally,1500,Semi-Furnished,46000
2 BHK,Apartment,Nallagandla Gachibowli,1375,Semi-Furnished,39000
3 BHK,Apartment,Kokapet,2615,Semi-Furnished,49000
4 BHK,Apartment,Kokapet,2800,Semi-Furnished,47000
3 BHK,Apartment,Shaikpet,1700,Semi-Furnished,54000
2 BHK,Apartment,Nallakunta,1100,Semi-Furnished,19000
2 BHK,Apartment,Gachibowli,1283,Semi-Furnished,45000
3 BHK,Apartment,Gachibowli,1742,Semi-Furnished,70000
3 BHK,Apartment,Madhapur,2330,Furnished,75000
3 BHK,Apartment,Mokila,2500,Semi-Furnished,47000
3 BHK,Apartment,Manikonda,1834,Semi-Furnished,49000
2 BHK,Apartment,Kukatpally,1200,Furnished,39000
3 BHK,Apartment,Nanakramguda,1600,Semi-Furnished,49000
3 BHK,Apartment,raidurgam,2250,Semi-Furnished,53000
3 BHK,Apartment,Nanakramguda,2850,Semi-Furnished,74000
3 BHK,Apartment,Kokapet,1790,Semi-Furnished,59000
3 BHK,Apartment,Kondapur,1550,Semi-Furnished,44000
3 BHK,Apartment,Kokapet,1770,Semi-Furnished,49000
3 BHK,Apartment,Kukatpally,1750,Semi-Furnished,54000
3 BHK,Apartment,Nallagandla Gachibowli,1550,Semi-Furnished,47000
